Name,Level,Battle Power,Load capacity,Attack,Units,Category,Minimum Building level required
Biochemical Zombie4,4,2.8,0,98,1,Biochemical Zombie,10
Biochemical Zombie5,5,3.6,0,124,1,Biochemical Zombie,13
Biochemical Zombie6,6,4.5,0,150,1,Biochemical Zombie,16
Biochemical Zombie7,7,5.5,0,182,1,Biochemical Zombie,19
Biochemical Zombie8,8,6.7,0,223,1,Biochemical Zombie,22
Biochemical Zombie9,9,8.1,0,268,1,Biochemical Zombie,26
Biochemical Zombie10,10,9.7,0,312,1,Biochemical Zombie,30
Biochemical Zombie11,11,11.6,0,360,1,Biochemical Zombie,34
Biochemical Zombie12,12,13.9,0,413,1,Biochemical Zombie,37
Biochemical Zombie13,13,16.5,0,464,1,Biochemical Zombie,41
